userID,seqID,totalFreq,movingpath0,theme0,lat0,long0,poiFreq0,movingpath1,theme1,lat1,long1,poiFreq1,movingpath2,theme2,lat2,long2,poiFreq2,movingpath3,theme3,lat3,long3,poiFreq3,movingpath4,theme4,lat4,long4,poiFreq4,movingpath5,theme5,lat5,long5,poiFreq5,movingpath6,theme6,lat6,long6,poiFreq6,movingpath7,theme7,lat7,long7,poiFreq7,movingpath8,theme8,lat8,long8,poiFreq8,movingpath9,theme9,lat9,long9,poiFreq9,pref_Cultural,pref_Entertainment,pref_Historical,pref_Museum,pref_Park,pref_Structure
10063645@N00,1,3909,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,1
10091295@N02,2,21900,Usher_Hall,Cultural,55.94675,-3.2042,1208,Usher_Hall,Cultural,55.94675,-3.2042,1208,Usher_Hall,Cultural,55.94675,-3.2042,1208,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,,,,,0,,,,,0,,,,,0,0.1071428571428571,0,0.5,0,0.1785714285714285,0.2142857142857142
10091295@N02,3,1325,"Old_College,_University_of_Edinburgh",Structure,55.947389,-3.187194,1325,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1071428571428571,0,0.5,0,0.1785714285714285,0.2142857142857142
10091295@N02,4,10784,Calton_Hill,Park,55.95528,-3.18222,845,Calton_Hill,Park,55.95528,-3.18222,845,Calton_Hill,Park,55.95528,-3.18222,845,Calton_Hill,Park,55.95528,-3.18222,845,Calton_Hill,Park,55.95528,-3.18222,845,"Old_College,_University_of_Edinburgh",Structure,55.947389,-3.187194,1325,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,"Parliament_House,_Edinburgh",Structure,55.94917,-3.19056,1303,"Old_College,_University_of_Edinburgh",Structure,55.947389,-3.187194,1325,0.1071428571428571,0,0.5,0,0.1785714285714285,0.2142857142857142
10091295@N02,5,68535,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,Edinburgh_Castle,Historical,55.948611,-3.200833,4569,0.1071428571428571,0,0.5,0,0.1785714285714285,0.2142857142857142
10115973@N05,6,1351,Princes_Street_Gardens,Park,55.95005,-3.2029944,1351,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,1,0
10135031@N08,7,1351,Princes_Street_Gardens,Park,55.95005,-3.2029944,1351,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,1,0
10137764@N00,8,6280,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,1,0,0
10137764@N00,9,282600,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,0,0,0,1,0,0
10137764@N00,10,169560,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,National_Museum_of_Scotland,Museum,55.94694,-3.19,3140,0,0,0,1,0,0
