userID,seqID,totalFreq,movingpath0,theme0,lat0,long0,poiFreq0,movingpath1,theme1,lat1,long1,poiFreq1,movingpath2,theme2,lat2,long2,poiFreq2,movingpath3,theme3,lat3,long3,poiFreq3,movingpath4,theme4,lat4,long4,poiFreq4,movingpath5,theme5,lat5,long5,poiFreq5,movingpath6,theme6,lat6,long6,poiFreq6,movingpath7,theme7,lat7,long7,poiFreq7,movingpath8,theme8,lat8,long8,poiFreq8,movingpath9,theme9,lat9,long9,poiFreq9,pref_Education,pref_Museum,pref_Park,pref_Religion,pref_Shopping,pref_Structure,pref_Transport
10063645@N00,1,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,2,916,Glasgow_Queen_Street_railway_station,Transport,55.8622,-4.2512,916,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,3,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,4,2084,Buchanan_Street,Shopping,55.8606833,-4.254111,848,Gallery_of_Modern_Art,Museum,55.8602,-4.25249,618,Gallery_of_Modern_Art,Museum,55.8602,-4.25249,618,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,5,2992,Ashton_Lane,Shopping,55.874757,-4.292865,718,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,Glasgow_Royal_Concert_Hall,Structure,55.864503,-4.252921,379,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,6,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,7,20118,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,University_of_Glasgow_Medical_School,Education,55.872,-4.288,1437,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,8,718,Ashton_Lane,Shopping,55.874757,-4.292865,718,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,9,718,Ashton_Lane,Shopping,55.874757,-4.292865,718,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,10,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
10063645@N00,11,3024,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,Glasgow_School_of_Art,Education,55.86611,-4.26389,1008,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.4722222222222222,0.055555556,0,0,0.2777777777777778,0.1666666666666666,0.027777778
