userID,Year,Month,Season,movingpath1,poiID1,theme1,subTheme1,lat1,long1,poiFreq1,movingpath2,poiID2,theme2,subTheme2,lat2,long2,poiFreq2,movingpath3,poiID3,theme3,subTheme3,lat3,long3,poiFreq3,movingpath4,poiID4,theme4,subTheme4,lat4,long4,poiFreq4,movingpath5,poiID5,theme5,subTheme5,lat5,long5,poiFreq5,movingpath6,poiID6,theme6,subTheme6,lat6,long6,poiFreq6,movingpath7,poiID7,theme7,subTheme7,lat7,long7,poiFreq7,movingpath8,poiID8,theme8,subTheme8,lat8,long8,poiFreq8,movingpath9,poiID9,theme9,subTheme9,lat9,long9,poiFreq9,movingpath10,poiID10,theme10,subTheme10,lat10,long10,poiFreq10,movingpath11,poiID11,theme11,subTheme11,lat11,long11,poiFreq11,movingpath12,poiID12,theme12,subTheme12,lat12,long12,poiFreq12,movingpath13,poiID13,theme13,subTheme13,lat13,long13,poiFreq13,movingpath14,poiID14,theme14,subTheme14,lat14,long14,poiFreq14,movingpath15,poiID15,theme15,subTheme15,lat15,long15,poiFreq15,movingpath16,poiID16,theme16,subTheme16,lat16,long16,poiFreq16,movingpath17,poiID17,theme17,subTheme17,lat17,long17,poiFreq17,movingpath18,poiID18,theme18,subTheme18,lat18,long18,poiFreq18,movingpath19,poiID19,theme19,subTheme19,lat19,long19,poiFreq19,movingpath20,poiID20,theme20,subTheme20,lat20,long20,poiFreq20,movingpath21,poiID21,theme21,subTheme21,lat21,long21,poiFreq21,movingpath22,poiID22,theme22,subTheme22,lat22,long22,poiFreq22,movingpath23,poiID23,theme23,subTheme23,lat23,long23,poiFreq23,movingpath24,poiID24,theme24,subTheme24,lat24,long24,poiFreq24,movingpath25,poiID25,theme25,subTheme25,lat25,long25,poiFreq25,movingpath26,poiID26,theme26,subTheme26,lat26,long26,poiFreq26,movingpath27,poiID27,theme27,subTheme27,lat27,long27,poiFreq27,movingpath28,poiID28,theme28,subTheme28,lat28,long28,poiFreq28,movingpath29,poiID29,theme29,subTheme29,lat29,long29,poiFreq29,movingpath30,poiID30,theme30,subTheme30,lat30,long30,poiFreq30,movingpath31,poiID31,theme31,subTheme31,lat31,long31,poiFreq31,movingpath32,poiID32,theme32,subTheme32,lat32,long32,poiFreq32,movingpath33,poiID33,theme33,subTheme33,lat33,long33,poiFreq33,movingpath34,poiID34,theme34,subTheme34,lat34,long34,poiFreq34,movingpath35,poiID35,theme35,subTheme35,lat35,long35,poiFreq35,movingpath36,poiID36,theme36,subTheme36,lat36,long36,poiFreq36,movingpath37,poiID37,theme37,subTheme37,lat37,long37,poiFreq37,movingpath38,poiID38,theme38,subTheme38,lat38,long38,poiFreq38,pref_Community Use,pref_Education Centre,pref_Health Services,pref_Leisure/Recreation,pref_Mixed Use,pref_Office,pref_Place Of Assembly,pref_Place of Worship,pref_Purpose Built,pref_Residential Accommodation,pref_Retail,pref_Specialist Residential Accommodation,pref_Transport,pref_Vacant Land
100895643@N03,2014,1,Summer,Rod Laver Arena,120,Leisure/Recreation,Major Sports & Recreation Facility,-37.82204561,144.9784872,357,St Pauls Cathedral,188,Place of Worship,Church,-37.8169549,144.9676816,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.25,0
100895643@N03,2014,2,Summer,Flinders Street Railway Station,190,Transport,Railway Station,-37.8179063,144.9670648,351,Rod Laver Arena,120,Leisure/Recreation,Major Sports & Recreation Facility,-37.82204561,144.9784872,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.25,0
101884347@N06,2013,12,Summer,SBS (Special Broadcasting Service),97,Office,Office,-37.81769212,144.9687406,148,Forum Theatre,189,Place Of Assembly,Theatre Live,-37.81648541,144.9693866,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
10195518@N02,2007,6,Winter,State Theatre,57,Place Of Assembly,Theatre Live,-37.82128064,144.9684696,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.222222222,0.111111111,0.111111111,0.444444444,0.111111111,0,0,0,0,0,0
10195518@N02,2007,8,Winter,Wesley Church,6,Place of Worship,Church,-37.81015764,144.9681682,67,The Museum Of Australian Chinese History,241,Place Of Assembly,Art Gallery/Museum,-37.81076861,144.9692339,23,Her Majesty's Theatre,177,Place Of Assembly,Theatre Live,-37.81099756,144.9695202,133,QV Village,203,Mixed Use,Retail/Office/Residential/Carpark,-37.81068919,144.9657146,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.222222222,0.111111111,0.111111111,0.444444444,0.111111111,0,0,0,0,0,0
10195518@N02,2007,9,Spring,Hamer Hall,131,Place Of Assembly,Theatre Live,-37.8199901,144.9679921,331,Hisense Arena,123,Leisure/Recreation,Major Sports & Recreation Facility,-37.82311,144.9818348,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.222222222,0.111111111,0.111111111,0.444444444,0.111111111,0,0,0,0,0,0
10195518@N02,2007,10,Spring,SBS (Special Broadcasting Service),97,Office,Office,-37.81769212,144.9687406,148,Melbourne Zoo,77,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.78444493,144.9513712,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.222222222,0.111111111,0.111111111,0.444444444,0.111111111,0,0,0,0,0,0
10204545@N02,2011,10,Spring,State Library Victoria,65,Community Use,Public Buildings,-37.80998522,144.9643303,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,0,0,0.066666667,0.133333333,0,0.133333333,0.066666667,0,0,0,0,0.266666667,0
10204545@N02,2011,11,Spring,Melbourne Central Railway Station,163,Transport,Railway Station,-37.80977593,144.9626701,91,State Library Victoria,65,Community Use,Public Buildings,-37.80998522,144.9643303,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,0,0,0.066666667,0.133333333,0,0.133333333,0.066666667,0,0,0,0,0.266666667,0
10204545@N02,2012,1,Summer,Melbourne Central,201,Mixed Use,Retail/Office/Carpark,-37.81053718,144.9627497,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,0,0,0.066666667,0.133333333,0,0.133333333,0.066666667,0,0,0,0,0.266666667,0
