userID,seqID,totalFreq,movingpath0,theme0,lat0,long0,poiFreq0,movingpath1,theme1,lat1,long1,poiFreq1,movingpath2,theme2,lat2,long2,poiFreq2,movingpath3,theme3,lat3,long3,poiFreq3,movingpath4,theme4,lat4,long4,poiFreq4,movingpath5,theme5,lat5,long5,poiFreq5,movingpath6,theme6,lat6,long6,poiFreq6,movingpath7,theme7,lat7,long7,poiFreq7,movingpath8,theme8,lat8,long8,poiFreq8,movingpath9,theme9,lat9,long9,poiFreq9,pref_Amusement,pref_Entertainment,pref_Historical,pref_Park
10297518@N00,1,3084,Namba,Entertainment,34.66722,135.50028,514,Namba,Entertainment,34.66722,135.50028,514,Namba,Entertainment,34.66722,135.50028,514,Namba,Entertainment,34.66722,135.50028,514,Namba,Entertainment,34.66722,135.50028,514,Namba,Entertainment,34.66722,135.50028,514,,,,,0,,,,,0,,,,,0,,,,,0,0,1,0,0
10307040@N08,2,6278,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Osaka_Castle,Park,34.68722,135.52583,1307,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,0,0.9,0,0.1
10340578@N06,3,3801,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsaibashi,Entertainment,34.6725,135.5,297,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,0.35,0.5,0,0.15
10340578@N06,4,15474,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,Osaka_Aquarium_Kaiyukan,Amusement,34.654472,135.428889,886,Osaka_Castle,Park,34.68722,135.52583,1307,Osaka_Castle,Park,34.68722,135.52583,1307,Osaka_Castle,Park,34.68722,135.52583,1307,0.35,0.5,0,0.15
10422365@N03,5,125,Amerikamura,Entertainment,34.672086,135.49796,125,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.25,0,0.75
10422365@N03,6,1307,Osaka_Castle,Park,34.68722,135.52583,1307,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.25,0,0.75
10422365@N03,7,394,Nakanoshima_Park,Park,34.693056,135.506431,197,Nakanoshima_Park,Park,34.693056,135.506431,197,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.25,0,0.75
11354044@N05,8,1829,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shinsekai,Entertainment,34.65222,135.50611,413,Shitenn%C5%8D-ji,Historical,34.6539,135.51645,229,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Tempozan_Ferris_Wheel,Amusement,34.6561657,135.431031,253,,,,,0,,,,,0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333
11354044@N05,9,51,Nipponbashi,Entertainment,34.65972,135.50583,51,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333
115391424@N05,10,324,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,Nagai_Park,Park,34.61194,135.52056,36,,,,,0,0.6896551724137931,0,0,0.3103448275862069
