userID,seqID,totalFreq,movingpath0,theme0,lat0,long0,poiFreq0,movingpath1,theme1,lat1,long1,poiFreq1,movingpath2,theme2,lat2,long2,poiFreq2,movingpath3,theme3,lat3,long3,poiFreq3,movingpath4,theme4,lat4,long4,poiFreq4,movingpath5,theme5,lat5,long5,poiFreq5,movingpath6,theme6,lat6,long6,poiFreq6,movingpath7,theme7,lat7,long7,poiFreq7,movingpath8,theme8,lat8,long8,poiFreq8,movingpath9,theme9,lat9,long9,poiFreq9,pref_Amusement,pref_Beach,pref_Cultural,pref_Shopping,pref_Sport,pref_Structure
10007579@N00,1,1538,Union_Station_(Toronto),Structure,43.64528,-79.38056,1538,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,1
10012675@N05,2,3944,Art_Gallery_of_Ontario,Cultural,43.65389,-79.39278,986,Art_Gallery_of_Ontario,Cultural,43.65389,-79.39278,986,Art_Gallery_of_Ontario,Cultural,43.65389,-79.39278,986,Art_Gallery_of_Ontario,Cultural,43.65389,-79.39278,986,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,1,0,0,0
10012675@N05,3,986,Art_Gallery_of_Ontario,Cultural,43.65389,-79.39278,986,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,1,0,0,0
10012675@N05,4,8676,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,Casa_Loma,Cultural,43.6781,-79.4095,964,,,,,0,0,0,1,0,0,0
10014440@N06,5,3084,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,6,22488,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,7,9370,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,8,35188,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,9,6168,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,10,139482,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,11,228664,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,Exhibition_Place,Amusement,43.63278,-79.41611,808,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,12,3084,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,13,3748,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,Toronto_Eaton_Centre,Shopping,43.653982,-79.380319,1874,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,14,6168,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,15,3056,Rogers_Centre,Sport,43.64139,-79.38917,3056,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10014440@N06,16,1028,Harbourfront_Centre,Shopping,43.63849,-79.382068,1028,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.1492537313432835,0,0,0.835820896,0.014925373,0
10031363@N00,17,8256,Hockey_Hall_of_Fame,Cultural,43.646976,-79.377253,2064,Hockey_Hall_of_Fame,Cultural,43.646976,-79.377253,2064,Hockey_Hall_of_Fame,Cultural,43.646976,-79.377253,2064,Hockey_Hall_of_Fame,Cultural,43.646976,-79.377253,2064,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,18,3619,Nathan_Phillips_Square,Beach,43.6525,-79.38361,3619,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,19,3594,Yonge-Dundas_Square,Beach,43.65611,-79.38028,3594,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,20,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,21,688,Maple_Leaf_Gardens,Sport,43.66222,-79.38028,688,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,22,3594,Yonge-Dundas_Square,Beach,43.65611,-79.38028,3594,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10031363@N00,23,1701,Kensington_Market,Shopping,43.6547722,-79.4006778,1701,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0.3,0.4,0.2,0.1,0
10116041@N02,24,3619,Nathan_Phillips_Square,Beach,43.6525,-79.38361,3619,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,1,0,0,0,0
10116041@N02,25,3619,Nathan_Phillips_Square,Beach,43.6525,-79.38361,3619,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,1,0,0,0,0
